Frame #,Hand Pink X,Hand Pink Y,Elbow Pink X,Elbow Pink Y,Shoulder Green X,Shoulder Green Y,Head Pink X,Head Pink Y
1,969.5578003,900.4898071,725.0014648,993.9735718,498.7056274,1012.445862,292.3933105,994.8659668
2,969.3657227,900.8137817,724.8354492,993.9742432,498.7597046,1013,289.727417,994.5
3,969.4396973,901.2098999,724.7966309,993.7966309,498.8312683,1012.362122,286.6758118,993.8964844
4,969.7782593,902.2120972,724.9434814,994.1469116,498.5,1012.5,284.2896423,993.0825195
5,969.6955566,902.8485107,724.8248901,994.880188,498.3833313,1012.996643,281.9363403,992.5862427
6,969.7652588,903.2347412,725.0516357,994.8421631,497.7628174,1013.150635,280.188324,990.6616821
7,969.9661255,903.671875,724.642395,995.0372314,497.6897583,1013.22113,278.3815918,989.1342163
8,969.6464844,904.1115112,724.642395,995.0372314,497.4717102,1013.276733,277.2078247,988.3346558
9,969.6097412,905.0189819,724.642395,995.0372314,497.4717102,1013.276733,275.9589844,987.7666626
10,969.4268188,905.055542,723.6129761,995.015564,497.1408997,1013.140869,275.3469543,986.1040649
11,969.4268188,905.055542,723.3048706,995.2432861,497.1687317,1012.637878,274.6331787,984.8143311
12,969.4268188,905.055542,723.3048706,995.2432861,497.1687317,1012.637878,274.1607361,982.8392334
13,969.3092651,905.3434448,723.2023315,995.5778809,497.1687317,1012.637878,273.5698547,981.0625
14,969.3092651,905.3434448,723.2023315,995.5778809,497,1012.759705,273.5,980
15,969.1018677,905.5,723.1364746,996.0430908,497.1687317,1012.637878,272.6340942,979.7644043
16,969.1018677,905.5,722.9262695,996.4547119,497.1408997,1013.140869,271.6938171,980.0925903
17,968.8193359,905.420166,723.2024536,996.7397461,497.1687317,1012.637878,270.3979187,980.9319458
18,968.5085449,905.5875854,723.2024536,996.7397461,497.2255859,1013.158264,269.5698547,982.0625
19,968.5085449,905.5875854,723.2024536,996.7397461,496.946228,1012.630798,268.0984497,984.6749878
20,968.5,905.8267212,723.2024536,996.7397461,496.946228,1012.630798,267.2558289,987.2558594
21,967.9437866,906.111084,723.2024536,996.7397461,497.5090942,1013.427246,265.4648438,990.8710938
22,967.9437866,906.111084,723.0648804,996.6165161,497.5090942,1013.427246,264.5,994.5
23,967.6097412,905.9810181,722.9262695,996.4547119,497.2690735,1012.646606,262.348877,996.2089844
24,967.6097412,905.9810181,722.9262695,996.4547119,496.946228,1012.630798,260.348877,994.2089844
25,967.4386597,906.2843018,722.9348755,996.4077759,497.0653687,1012.088257,258.8789063,990.8789063
26,967.4386597,906.2843018,722.9348755,996.4077759,497.0628967,1011.937134,259.3729248,991.0166016
27,967.5,906.0680542,722.7886353,996.697876,497.202179,1011.590149,260.4918823,993.586792
28,967.262207,906.0988159,722.8779297,996.855957,497.202179,1011.590149,261,994.5
29,967.3902588,905.9810181,722.8779297,996.855957,497.202179,1011.590149,261,994.5
30,967.262207,906.0988159,722.8779297,996.855957,497.202179,1011.590149,261.1385498,995.1673584
31,967.5,906.0680542,722.8779297,996.855957,497.2429504,1011.728821,261.0611877,995.9387817
32,967.6022949,906.5908813,722.8779297,996.855957,497.2429504,1011.728821,260.8356323,996.2872314
33,967.6097412,907.0189819,723.2770386,996.8666382,497.2150574,1011.52417,260.5297852,996.3252563
34,967.7078857,907.5500488,723.2770386,996.8666382,497.2150574,1011.52417,260.5,996.5
35,967.7078857,907.5500488,723.2770386,996.8666382,497.2150574,1011.784973,260.5,996.5
36,968.0391235,907.4395752,723.1680908,996.9507446,497.2150574,1011.784973,260.5,996.5
37,968.2032471,907.6120605,723.1680908,996.9507446,496.4757996,1011.784973,261,996.5
38,968.2032471,907.6120605,723.0209351,997.1422729,496.4757996,1011.784973,261,996.5
39,968.3892822,907.8970947,723.0209351,997.1422729,496.2677917,1011.672363,261.1498718,996.9767456
40,968.4250488,908.324707,723.0123291,997.2304688,496.2677917,1011.672363,261.4263611,997.065918
41,968.5,908.5,722.9240723,997.3375244,496.3102417,1012.15509,261.6691589,997.1260986
42,968.3853149,908.9125366,723.1226807,997.5706787,496.3102417,1012.15509,261.6998596,997.8539429
43,968.5,909.0330811,723.3052368,997.8388062,496.3102417,1012.15509,262.3420715,998.0291138
44,968.5,909.1699829,723.0900269,998.2510986,496.3102417,1012.15509,262.5,998.5
45,968.7653809,909.7061768,723.3118896,998.272644,496.3102417,1012.15509,262.731781,998.565918
